path:mmu05132	Salmonella infection - Mus musculus (mouse)
path:mmu05133	Pertussis - Mus musculus (mouse)
path:mmu05134	Legionellosis - Mus musculus (mouse)
path:mmu05140	Leishmaniasis - Mus musculus (mouse)
path:mmu05142	Chagas disease (American trypanosomiasis) - Mus musculus (mouse)
path:mmu05143	African trypanosomiasis - Mus musculus (mouse)
path:mmu05144	Malaria - Mus musculus (mouse)
path:mmu05145	Toxoplasmosis - Mus musculus (mouse)
path:mmu05146	Amoebiasis - Mus musculus (mouse)
path:mmu05150	Staphylococcus aureus infection - Mus musculus (mouse)
path:mmu05152	Tuberculosis - Mus musculus (mouse)
path:mmu05160	Hepatitis C - Mus musculus (mouse)
path:mmu05161	Hepatitis B - Mus musculus (mouse)
path:mmu05162	Measles - Mus musculus (mouse)
path:mmu05163	Human cytomegalovirus infection - Mus musculus (mouse)
path:mmu05164	Influenza A - Mus musculus (mouse)
path:mmu05165	Human papillomavirus infection - Mus musculus (mouse)
path:mmu05166	HTLV-I infection - Mus musculus (mouse)
path:mmu05167	Kaposi's sarcoma-associated herpesvirus infection - Mus musculus (mouse)
path:mmu05168	Herpes simplex infection - Mus musculus (mouse)
path:mmu05169	Epstein-Barr virus infection - Mus musculus (mouse)
path:mmu05200	Pathways in cancer - Mus musculus (mouse)
path:mmu05202	Transcriptional misregulation in cancer - Mus musculus (mouse)
path:mmu05203	Viral carcinogenesis - Mus musculus (mouse)
path:mmu05204	Chemical carcinogenesis - Mus musculus (mouse)
path:mmu05205	Proteoglycans in cancer - Mus musculus (mouse)
path:mmu05206	MicroRNAs in cancer - Mus musculus (mouse)
path:mmu05210	Colorectal cancer - Mus musculus (mouse)
path:mmu05211	Renal cell carcinoma - Mus musculus (mouse)
path:mmu05212	Pancreatic cancer - Mus musculus (mouse)
path:mmu05213	Endometrial cancer - Mus musculus (mouse)
path:mmu05214	Glioma - Mus musculus (mouse)
path:mmu05215	Prostate cancer - Mus musculus (mouse)
path:mmu05216	Thyroid cancer - Mus musculus (mouse)
path:mmu05217	Basal cell carcinoma - Mus musculus (mouse)
path:mmu05218	Melanoma - Mus musculus (mouse)
path:mmu05219	Bladder cancer - Mus musculus (mouse)
path:mmu05220	Chronic myeloid leukemia - Mus musculus (mouse)
path:mmu05221	Acute myeloid leukemia - Mus musculus (mouse)
path:mmu05222	Small cell lung cancer - Mus musculus (mouse)
path:mmu05223	Non-small cell lung cancer - Mus musculus (mouse)
path:mmu05224	Breast cancer - Mus musculus (mouse)
path:mmu05225	Hepatocellular carcinoma - Mus musculus (mouse)
path:mmu05226	Gastric cancer - Mus musculus (mouse)
path:mmu05230	Central carbon metabolism in cancer - Mus musculus (mouse)
path:mmu05231	Choline metabolism in cancer - Mus musculus (mouse)
path:mmu05310	Asthma - Mus musculus (mouse)
path:mmu05320	Autoimmune thyroid disease - Mus musculus (mouse)
