NX_A6NNX1 	IPI00879068
NX_A6NNY8 	IPI00399220
NX_A6NNZ2 	IPI00174849
NX_A6NP11 	IPI01009793
NX_A6NP61 	IPI00414408
NX_A6PVC2 	IPI00852793
NX_A6PVI3 	IPI00398274
NX_A6PVL3 	IPI00848184
NX_A6PVL3 	IPI00939126
NX_A6PVS8 	IPI00076865
NX_A6PVS8 	IPI00782960
NX_A6PVS8 	IPI00843761
NX_A6PVY3 	IPI00402098
NX_A6PVY3 	IPI00853063
NX_A6QL63 	IPI00446036
NX_A6QL63 	IPI00604727
NX_A6QL63 	IPI00878014
